date,case_shiller_boston_hpi
1987-01-01,70.267
1987-02-01,70.6407
1987-03-01,71.0468
1987-04-01,71.4116
1987-05-01,71.8827
1987-06-01,72.2959
1987-07-01,72.621
1987-08-01,73.1629
1987-09-01,73.7488
1987-10-01,74.0066
1987-11-01,74.4181
1987-12-01,74.5796
1988-01-01,74.6612
1988-02-01,74.5894
1988-03-01,74.4778
1988-04-01,74.5268
1988-05-01,74.8124
1988-06-01,75.0036
1988-07-01,75.0319
1988-08-01,74.8411
1988-09-01,74.7104
1988-10-01,74.6004
1988-11-01,74.6386
1988-12-01,74.6953
1989-01-01,74.5199
1989-02-01,75.1673
1989-03-01,75.5548
1989-04-01,75.3941
1989-05-01,75.043
1989-06-01,74.516
1989-07-01,74.1813
1989-08-01,73.4352
1989-09-01,73.0104
1989-10-01,72.7169
1989-11-01,72.9911
1989-12-01,73.0009
1990-01-01,73.0968
1990-02-01,72.8733
1990-03-01,72.1926
1990-04-01,71.6467
1990-05-01,70.6934
1990-06-01,69.99
1990-07-01,69.3551
1990-08-01,68.9049
1990-09-01,68.6041
1990-10-01,68.0843
1990-11-01,67.1231
1990-12-01,66.1917
1991-01-01,65.3104
1991-02-01,64.751
1991-03-01,64.4509
1991-04-01,64.0331
1991-05-01,64.0857
1991-06-01,64.0628
1991-07-01,64.0122
1991-08-01,64.0962
1991-09-01,64.1362
1991-10-01,64.1066
1991-11-01,63.8631
1991-12-01,63.8067
1992-01-01,63.5594
1992-02-01,63.5603
1992-03-01,63.8115
1992-04-01,64.4008
1992-05-01,64.3511
1992-06-01,64.1473
1992-07-01,63.9403
1992-08-01,63.9667
1992-09-01,63.9047
1992-10-01,64.0301
1992-11-01,64.0333
1992-12-01,64.4682
1993-01-01,64.8615
1993-02-01,64.9498
1993-03-01,64.8235
1993-04-01,64.7085
1993-05-01,64.8348
1993-06-01,65.1451
1993-07-01,65.5183
1993-08-01,65.7323
1993-09-01,65.8481
1993-10-01,65.8844
1993-11-01,66.2236
1993-12-01,66.517
1994-01-01,66.818
1994-02-01,67.0679
1994-03-01,67.4689
1994-04-01,68.0262
1994-05-01,67.9309
1994-06-01,68.1272
1994-07-01,68.163
1994-08-01,68.2871
1994-09-01,68.4419
1994-10-01,68.6559
1994-11-01,68.7911
1994-12-01,68.7803
1995-01-01,68.7935
1995-02-01,69.0123
1995-03-01,69.1256
1995-04-01,68.9811
1995-05-01,69.0935
1995-06-01,69.3891
1995-07-01,69.6965
1995-08-01,70.0259
1995-09-01,70.1243
1995-10-01,70.1425
1995-11-01,70.1122
1995-12-01,70.2661
1996-01-01,70.6808
1996-02-01,70.9572
1996-03-01,71.3931
1996-04-01,71.6566
1996-05-01,71.8192
1996-06-01,72.084
1996-07-01,72.4368
1996-08-01,72.9321
1996-09-01,73.0179
1996-10-01,73.3243
1996-11-01,73.4758
1996-12-01,74.1963
1997-01-01,74.6085
1997-02-01,74.9057
1997-03-01,75.354
1997-04-01,75.7255
1997-05-01,76.1326
1997-06-01,76.4947
1997-07-01,76.7532
1997-08-01,77.0742
1997-09-01,77.4424
1997-10-01,78.0022
1997-11-01,78.6189
1997-12-01,79.2848
1998-01-01,79.8995
1998-02-01,80.574
1998-03-01,81.1781
1998-04-01,81.9457
1998-05-01,82.7934
1998-06-01,83.6836
1998-07-01,84.4904
1998-08-01,85.2778
1998-09-01,86.2023
1998-10-01,86.5753
1998-11-01,86.8835
1998-12-01,87.7878
1999-01-01,89.2421
1999-02-01,90.5606
1999-03-01,91.2886
1999-04-01,92.1534
1999-05-01,92.9992
1999-06-01,93.8006
1999-07-01,95.0779
1999-08-01,96.0801
1999-09-01,97.2047
1999-10-01,98.2124
1999-11-01,99.2709
1999-12-01,100.3583
2000-01-01,100.9198
2000-02-01,101.8942
2000-03-01,102.651
2000-04-01,104.3477
2000-05-01,106.0095
2000-06-01,107.9303
2000-07-01,108.9245
2000-08-01,110.1292
2000-09-01,111.3708
2000-10-01,112.9694
2000-11-01,114.7702
2000-12-01,116.9505
2001-01-01,118.8376
2001-02-01,120.4067
2001-03-01,121.5561
2001-04-01,122.7396
2001-05-01,123.1776
2001-06-01,124.4397
2001-07-01,125.6015
2001-08-01,126.9431
2001-09-01,128.1461
2001-10-01,129.1333
2001-11-01,130.1816
2001-12-01,130.5095
2002-01-01,131.353
2002-02-01,131.7736
2002-03-01,132.9679
2002-04-01,134.5278
2002-05-01,136.6818
2002-06-01,138.7718
2002-07-01,140.5416
2002-08-01,142.3079
2002-09-01,144.2031
2002-10-01,145.8484
2002-11-01,147.4093
2002-12-01,147.8583
2003-01-01,148.5246
2003-02-01,149.6979
2003-03-01,150.9729
2003-04-01,151.6418
2003-05-01,151.879
2003-06-01,152.3787
2003-07-01,152.892
2003-08-01,153.5647
2003-09-01,154.6071
2003-10-01,155.9019
2003-11-01,157.6827
2003-12-01,159.3035
2004-01-01,160.5728
2004-02-01,161.9874
2004-03-01,163.2533
2004-04-01,165.5315
2004-05-01,166.1745
2004-06-01,167.5167
2004-07-01,168.1412
2004-08-01,169.2891
2004-09-01,170.1588
2004-10-01,172.0483
2004-11-01,173.0522
2004-12-01,174.3186
2005-01-01,175.7596
2005-02-01,177.9356
2005-03-01,179.4602
2005-04-01,180.4932
2005-05-01,180.71
2005-06-01,180.0831
2005-07-01,180.012
2005-08-01,179.701
2005-09-01,180.1476
2005-10-01,180.0129
2005-11-01,180.8119
2005-12-01,180.4377
2006-01-01,180.6269
2006-02-01,179.5437
2006-03-01,180.05
2006-04-01,179.3422
2006-05-01,178.3256
2006-06-01,176.495
2006-07-01,175.6017
2006-08-01,174.9176
2006-09-01,173.8478
2006-10-01,173.7315
2006-11-01,171.9112
2006-12-01,171.2879
2007-01-01,170.5776
2007-02-01,171.2823
2007-03-01,171.8513
2007-04-01,171.6488
2007-05-01,170.934
2007-06-01,169.7069
2007-07-01,169.2289
2007-08-01,167.9866
2007-09-01,168.0405
2007-10-01,167.4124
2007-11-01,166.9579
2007-12-01,165.5287
2008-01-01,164.7536
2008-02-01,163.5318
2008-03-01,162.2225
2008-04-01,160.9533
2008-05-01,160.5769
2008-06-01,160.547
2008-07-01,159.6738
2008-08-01,159.4918
