date,median_sale_price
January 2012,376000
February 2012,377000
March 2012,358000
April 2012,370000
May 2012,391000
June 2012,429000
July 2012,405000
August 2012,393000
September 2012,390000
October 2012,410000
November 2012,395000
December 2012,402000
January 2013,400000
February 2013,375000
March 2013,408000
April 2013,413000
May 2013,435000
June 2013,449000
July 2013,440000
August 2013,446000
September 2013,440000
October 2013,458000
November 2013,455000
December 2013,440000
January 2014,462000
February 2014,462000
March 2014,492000
April 2014,469000
May 2014,490000
June 2014,490000
July 2014,465000
August 2014,465000
September 2014,476000
October 2014,465000
November 2014,469000
December 2014,499000
January 2015,485000
February 2015,491000
March 2015,490000
April 2015,494000
May 2015,550000
June 2015,537000
July 2015,519000
August 2015,530000
September 2015,515000
October 2015,548000
November 2015,550000
December 2015,525000
January 2016,535000
February 2016,533000
March 2016,550000
April 2016,540000
May 2016,576000
June 2016,600000
July 2016,580000
August 2016,579000
September 2016,593000
October 2016,575000
November 2016,566000
December 2016,560000
January 2017,610000
February 2017,560000
March 2017,585000
April 2017,620000
May 2017,605000
June 2017,620000
July 2017,600000
August 2017,600000
September 2017,629000
October 2017,620000
November 2017,630000
December 2017,649000
January 2018,619000
February 2018,650000
March 2018,635000
April 2018,695000
May 2018,675000
June 2018,700000
July 2018,685000
August 2018,699000
September 2018,662000
October 2018,640000
November 2018,652000
December 2018,650000
January 2019,674000
February 2019,590000
March 2019,636000
April 2019,659000
May 2019,690000
June 2019,719000
July 2019,700000
August 2019,670000
September 2019,659000
October 2019,700000
November 2019,654000
December 2019,700000
January 2020,705000
February 2020,682000
March 2020,721000
April 2020,699000
May 2020,650000
June 2020,660000
July 2020,680000
August 2020,668000
September 2020,705000
October 2020,700000
November 2020,682000
December 2020,702000
January 2021,690000
February 2021,690000
March 2021,714000
April 2021,730000
May 2021,751000
June 2021,750000
July 2021,730000
August 2021,710000
September 2021,762000
October 2021,718000
November 2021,751000
December 2021,747000
January 2022,725000
February 2022,710000
March 2022,770000
April 2022,803000
May 2022,780000
June 2022,800000
July 2022,800000
August 2022,753000
September 2022,749000
October 2022,760000
November 2022,765000
December 2022,710000
January 2023,750000
February 2023,725000
March 2023,765000
April 2023,770000
May 2023,790000
June 2023,813000
July 2023,825000
August 2023,760000
September 2023,770000
October 2023,835000
November 2023,800000
December 2023,830000
January 2024,795000
February 2024,733000
March 2024,819000
April 2024,772000
May 2024,797000
June 2024,833000
July 2024,823000
August 2024,797000
September 2024,780000
October 2024,830000
November 2024,845000
December 2024,888000
January 2025,853000
February 2025,855000
March 2025,840000
April 2025,829000
May 2025,839000
June 2025,839000
July 2025,825000
August 2025,850000
September 2025,800000
October 2025,835000
November 2025,868000
December 2025,843000
January 2026,825000
